Date,Open,High,Low,Close,Adj Close,Volume
2003-08-25,7.737080,7.938950,7.329450,7.430390,7.430390,5742828
2003-08-26,7.123700,7.329450,7.022770,7.123700,7.123700,3173807
2003-08-27,7.123700,7.193580,6.956770,7.057710,7.057710,1211785
2003-08-28,7.057710,7.123700,6.751020,7.057710,7.057710,2923254
2003-08-29,7.057710,7.123700,6.851950,7.123700,7.123700,1698599
2003-09-01,7.123700,7.123700,6.751020,6.785960,6.785960,2106084
2003-09-02,6.785960,6.785960,6.514210,6.751020,6.751020,1689249
2003-09-03,6.851950,6.851950,6.448210,6.448210,6.448210,1755121
2003-09-04,6.378330,6.549150,6.312340,6.312340,6.312340,1668320
2003-09-05,6.312340,6.343390,5.970710,6.040590,6.040590,2069009
2003-09-08,6.005650,6.378330,6.005650,6.312340,6.312340,999137
2003-09-09,6.413270,6.479270,6.176460,6.378330,6.378330,2453633
2003-09-10,6.444170,6.518250,6.291920,6.481210,6.481210,991529
2003-09-11,6.481210,6.481210,6.481210,6.481210,6.481210,0
2003-09-12,6.481210,6.481210,6.365990,6.365990,6.365990,507572
2003-09-15,6.365990,6.748690,6.365990,6.481210,6.481210,473117
2003-09-16,6.900950,6.900950,6.900950,6.900950,6.900950,454557
2003-09-17,7.357720,7.357720,7.357720,7.357720,7.357720,761919
2003-09-18,7.851520,7.851520,7.509970,7.625200,7.625200,3692190
2003-09-19,7.814490,8.003780,7.662230,7.662230,7.662230,2590566
2003-09-22,7.662230,7.662230,7.242500,7.242500,7.242500,1345603
2003-09-23,7.053200,7.357720,7.053200,7.357720,7.357720,641504
2003-09-24,7.435900,7.435900,7.242500,7.242500,7.242500,625608
2003-09-25,7.242500,7.435900,7.090240,7.435900,7.435900,949098
2003-09-26,7.242500,7.394750,7.242500,7.242500,7.242500,515438
2003-09-29,7.090240,7.740420,7.090240,7.509970,7.509970,2791556
2003-09-30,7.509970,7.509970,7.320680,7.472940,7.472940,1386413
2003-10-01,7.472940,7.547010,7.279530,7.320680,7.320680,1400735
2003-10-02,7.435900,7.509970,7.320680,7.435900,7.435900,1373240
2003-10-03,7.435900,7.588160,7.435900,7.588160,7.588160,1828112
2003-10-06,7.699270,8.081970,7.699270,8.081970,8.081970,4641414
2003-10-07,8.197190,8.271260,8.081970,8.197190,8.197190,2947222
2003-10-08,8.234220,8.386480,8.197190,8.197190,8.197190,1609932
2003-10-09,8.197190,8.271260,8.197190,8.234220,8.234220,713405
2003-10-10,8.234220,8.234220,8.234220,8.234220,8.234220,0
2003-10-13,8.234220,8.653960,8.234220,8.312410,8.312410,710576
2003-10-14,8.349440,8.386480,8.003780,8.234220,8.234220,831999
2003-10-15,8.769180,8.806220,8.653960,8.769180,8.769180,5701666
2003-10-16,8.616920,8.616920,8.234220,8.616920,8.616920,3393217
2003-10-17,8.538740,8.690990,8.386480,8.538740,8.538740,987941
2003-10-20,8.386480,8.843250,8.386480,8.806220,8.806220,2202682
2003-10-21,8.769180,8.806220,8.575770,8.616920,8.616920,871668
2003-10-22,8.616920,8.769180,8.501700,8.616920,8.616920,1299356
2003-10-23,8.616920,8.769180,8.501700,8.690990,8.690990,1299273
2003-10-24,8.732140,8.769180,8.464670,8.464670,8.464670,1086814
2003-10-27,8.464670,8.769180,8.464670,8.732140,8.732140,1710848
2003-10-28,8.538740,8.921440,8.538740,8.769180,8.769180,3712989
2003-10-29,8.806220,9.147770,8.806220,8.921440,8.921440,3707673
2003-10-30,8.884400,8.958470,8.653960,8.653960,8.653960,932494
2003-10-31,8.653960,8.843250,8.653960,8.690990,8.690990,742813
2003-11-03,8.690990,8.843250,8.690990,8.769180,8.769180,661004
2003-11-04,8.843250,9.378210,8.843250,9.378210,9.378210,41040464
2003-11-05,10.028400,10.028400,10.028400,10.028400,10.028400,2932974
2003-11-06,10.711500,10.711500,9.608650,10.559200,10.559200,9567349462
2003-11-07,10.904900,11.246400,10.369900,10.711500,10.711500,8313052445
2003-11-10,10.711500,11.361700,10.674400,11.209400,11.209400,6192613703
2003-11-11,11.246400,11.398700,10.979000,11.361700,11.361700,4730727
2003-11-12,11.361700,11.513900,11.131200,11.168300,11.168300,3214689258
2003-11-13,11.361700,11.933700,11.361700,11.933700,11.933700,8986696
2003-11-14,12.122900,12.732000,12.048900,12.694900,12.694900,9784865
2003-11-17,12.275200,13.114700,12.275200,12.962400,12.962400,6967245087
2003-11-18,12.999500,13.304000,12.085900,12.390400,12.390400,12445873
2003-11-19,12.201100,12.579700,11.892500,12.579700,12.579700,6122908
2003-11-20,12.847200,12.884200,12.275200,12.275200,12.275200,4231978452
2003-11-21,12.275200,12.464500,11.970700,12.390400,12.390400,3122498
2003-11-24,12.390400,12.390400,12.085900,12.353400,12.353400,2017884
2003-11-25,12.694900,12.847200,12.390400,12.773100,12.773100,5346666124
2003-11-26,12.312200,13.419200,12.312200,13.151700,13.151700,22006415773
2003-11-27,13.036500,13.229900,12.579700,13.114700,13.114700,3227140
2003-11-28,12.962400,13.266900,12.773100,12.773100,12.773100,2075506161
2003-12-01,12.427500,13.341000,12.427500,13.151700,13.151700,3255025
2003-12-02,13.151700,13.304000,12.884200,13.036500,13.036500,4607137560
2003-12-03,13.036500,13.913000,13.036500,13.913000,13.913000,9603154582
2003-12-04,13.954200,14.373900,13.838900,14.106400,14.106400,12909529149
2003-12-05,14.106400,14.295700,13.913000,13.954200,13.954200,2160846474
2003-12-08,13.876000,14.258700,13.723700,14.258700,14.258700,1775415326
2003-12-09,14.258700,14.563200,14.143400,14.221600,14.221600,1499991
2003-12-10,14.221600,14.295700,13.838900,14.295700,14.295700,1658871
2003-12-11,14.295700,14.373900,14.106400,14.221600,14.221600,1045060
2003-12-12,14.410900,14.410900,14.069400,14.295700,14.295700,1124889239
2003-12-15,14.295700,14.295700,13.991200,14.258700,14.258700,1162689472
2003-12-16,13.991200,14.143400,13.876000,13.954200,13.954200,878683480
2003-12-17,13.954200,14.106400,13.608500,13.608500,13.608500,859072559
2003-12-18,13.608500,14.295700,13.571500,14.295700,14.295700,1632989
2003-12-19,14.485000,14.485000,14.106400,14.180500,14.180500,1152527
2003-12-22,14.373900,14.373900,14.106400,14.373900,14.373900,585077
2003-12-23,14.373900,14.448000,14.106400,14.410900,14.410900,1304703
2003-12-24,14.526100,14.526100,14.332700,14.485000,14.485000,879848
2003-12-25,14.600200,14.600200,14.295700,14.485000,14.485000,752559
2003-12-26,14.373900,15.172200,14.180500,15.172200,15.172200,1345141511
2003-12-29,15.172200,15.439700,14.867700,15.439700,15.439700,2487828815
2003-12-30,15.439700,15.629000,15.324500,15.629000,15.629000,1365957
2003-12-31,15.554900,15.781200,15.439700,15.781200,15.781200,2014527
2004-01-01,15.781200,15.781200,15.781200,15.781200,15.781200,0
2004-01-02,15.822400,15.822400,15.057000,15.629000,15.629000,1211867441
2004-01-05,15.439700,15.439700,14.563200,14.563200,14.563200,1635464
2004-01-06,14.600200,15.361500,14.600200,14.678400,14.678400,1949621
2004-01-07,14.793600,15.057000,14.752500,14.752500,14.752500,971843861
2004-01-08,15.019900,15.019900,14.637200,14.637200,14.637200,413131878
2004-01-09,14.678400,14.867700,14.563200,14.563200,14.563200,670762
2004-01-12,14.678400,14.678400,14.295700,14.373900,14.373900,1082817
2004-01-13,13.760700,14.373900,13.534400,13.876000,13.876000,1393777567
2004-01-14,13.876000,13.876000,13.534400,13.801900,13.801900,1566866424
2004-01-15,13.876000,14.600200,13.876000,14.143400,14.143400,2269479313
2004-01-16,14.410900,14.410900,13.991200,13.991200,13.991200,1186992919
2004-01-19,13.991200,13.991200,13.991200,13.991200,13.991200,0
2004-01-20,13.991200,13.991200,13.991200,13.991200,13.991200,0
2004-01-21,13.991200,13.991200,13.991200,13.991200,13.991200,0
2004-01-22,13.991200,13.991200,13.991200,13.991200,13.991200,0
2004-01-23,13.991200,13.991200,13.991200,13.991200,13.991200,0
2004-01-26,13.991200,13.991200,13.991200,13.991200,13.991200,0
2004-01-27,14.180500,14.637200,14.106400,14.485000,14.485000,1589594
2004-01-28,14.485000,14.945900,14.410900,14.715400,14.715400,3537504
2004-01-29,14.526100,14.945900,14.526100,14.793600,14.793600,2069187
2004-01-30,14.945900,15.707200,14.945900,15.361500,15.361500,2834010
2004-02-02,15.517900,15.629000,15.250400,15.361500,15.361500,2149981
2004-02-03,15.057000,15.287400,14.678400,15.172200,15.172200,1116495667
2004-02-04,15.172200,15.287400,14.982900,15.172200,15.172200,1585517455
2004-02-05,15.135200,15.439700,15.135200,15.172200,15.172200,755190570
2004-02-06,15.361500,15.361500,15.057000,15.057000,15.057000,856924349
2004-02-09,15.057000,15.098100,14.752500,14.830700,14.830700,1184584688
2004-02-10,14.752500,14.867700,14.637200,14.637200,14.637200,842784
2004-02-11,15.250400,15.629000,14.945900,15.361500,15.361500,3622170
2004-02-12,15.554900,15.591900,15.057000,15.098100,15.098100,2019028166
2004-02-13,15.135200,15.172200,14.904700,15.057000,15.057000,746318268
2004-02-16,15.057000,15.250400,14.904700,14.904700,14.904700,887628685
2004-02-17,14.945900,15.135200,14.867700,14.904700,14.904700,716024620
2004-02-18,14.982900,15.209200,14.904700,14.904700,14.904700,814591977
2004-02-19,14.904700,15.057000,14.715400,15.057000,15.057000,1300928240
2004-02-20,15.098100,15.629000,15.057000,15.361500,15.361500,2993338580
2004-02-23,15.402600,15.554900,15.402600,15.402600,15.402600,2514541
2004-02-24,15.402600,15.476700,15.172200,15.172200,15.172200,1489611060
2004-02-25,15.172200,15.250400,15.057000,15.135200,15.135200,931185829
2004-02-26,15.135200,15.172200,15.019900,15.098100,15.098100,1466656319
2004-02-27,15.172200,15.172200,14.867700,14.904700,14.904700,1624984738
2004-03-01,14.904700,15.019900,14.830700,14.867700,14.867700,1822087860
2004-03-02,14.867700,14.945900,14.715400,14.752500,14.752500,1498814
2004-03-03,14.752500,15.402600,14.678400,15.057000,15.057000,930694948
2004-03-04,15.209200,15.250400,14.867700,15.135200,15.135200,672384853
2004-03-05,15.135200,15.250400,14.867700,14.867700,14.867700,655308528
2004-03-08,14.752500,15.135200,14.752500,14.904700,14.904700,591878012
2004-03-09,14.867700,15.172200,14.867700,15.098100,15.098100,444412147
2004-03-10,14.830700,15.172200,14.830700,14.867700,14.867700,485471147
2004-03-11,14.982900,14.982900,14.793600,14.830700,14.830700,291925693
2004-03-12,14.715400,14.867700,14.678400,14.678400,14.678400,271132
2004-03-15,15.057000,15.057000,14.485000,14.485000,14.485000,387032585
2004-03-16,14.485000,14.793600,14.180500,14.221600,14.221600,276861
2004-03-17,14.221600,14.332700,13.382200,13.534400,13.534400,704773
2004-03-18,12.694900,14.410900,12.694900,14.373900,14.373900,976884
2004-03-19,14.069400,14.221600,13.723700,14.106400,14.106400,347509410
2004-03-22,13.151700,13.151700,13.151700,13.151700,13.151700,43293
2004-03-23,12.238200,13.341000,12.238200,12.579700,12.579700,818405
2004-03-24,12.962400,13.266900,12.579700,12.962400,12.962400,240011429
2004-03-25,12.962400,13.151700,12.616800,12.616800,12.616800,179616110
2004-03-26,12.847200,12.884200,12.579700,12.847200,12.847200,110168663
2004-03-29,12.847200,13.571500,12.847200,13.497400,13.497400,205414071
2004-03-30,13.497400,13.534400,13.188800,13.341000,13.341000,236562
2004-03-31,13.341000,13.341000,12.999500,12.999500,12.999500,149556
2004-04-01,12.962400,13.077600,12.773100,12.884200,12.884200,394522159
2004-04-02,12.884200,12.884200,12.694900,12.773100,12.773100,419671282
2004-04-05,13.341000,13.456200,12.773100,12.847200,12.847200,1051684854
2004-04-06,12.884200,12.962400,12.579700,12.657900,12.657900,695052842
2004-04-07,12.657900,12.657900,12.312200,12.390400,12.390400,924323221
2004-04-08,12.390400,12.427500,12.201100,12.201100,12.201100,2007150
2004-04-09,12.390400,12.962400,12.275200,12.925400,12.925400,1737845953
2004-04-12,13.151700,13.801900,12.962400,13.801900,13.801900,4224090342
2004-04-13,14.752500,14.752500,14.332700,14.715400,14.715400,7590104
2004-04-14,14.715400,15.209200,14.637200,14.752500,14.752500,8005432
2004-04-15,14.752500,14.867700,14.295700,14.485000,14.485000,3124099
2004-04-16,14.448000,14.678400,14.373900,14.448000,14.448000,1875166
2004-04-19,14.830700,14.830700,14.485000,14.678400,14.678400,2953383
2004-04-20,14.830700,14.830700,14.485000,14.485000,14.485000,1740621
2004-04-21,14.410900,14.410900,14.143400,14.143400,14.143400,1375329
2004-04-22,14.180500,14.410900,13.954200,13.954200,13.954200,1132993628
2004-04-23,13.954200,13.954200,13.382200,13.456200,13.456200,767253595
2004-04-26,13.456200,13.608500,12.962400,13.114700,13.114700,943445692
2004-04-27,12.962400,13.114700,12.925400,12.925400,12.925400,558716843
2004-04-28,13.036500,13.801900,12.962400,13.760700,13.760700,815350169
2004-04-29,13.649600,13.649600,12.810200,12.999500,12.999500,1376091287
2004-04-30,12.962400,12.962400,12.275200,12.312200,12.312200,1510901181
2004-05-03,12.464500,12.542700,12.085900,12.201100,12.201100,1050549
2004-05-04,12.275200,12.579700,12.275200,12.505600,12.505600,354118
2004-05-05,12.773100,12.773100,11.781400,11.781400,11.781400,699640874
2004-05-06,12.238200,12.390400,11.057100,11.666200,11.666200,723974
2004-05-07,11.818400,11.933700,11.703200,11.818400,11.818400,322639749
2004-05-10,11.703200,11.703200,11.246400,11.435700,11.435700,582808872
2004-05-11,11.398700,11.588000,11.361700,11.551000,11.551000,1190437
2004-05-12,11.551000,12.048900,11.551000,11.703200,11.703200,605933720
2004-05-13,11.703200,12.201100,11.629100,11.818400,11.818400,443794902
2004-05-14,12.007700,12.007700,11.740200,11.818400,11.818400,495762627
2004-05-17,11.629100,11.629100,11.016000,11.246400,11.246400,772842
2004-05-18,11.094200,11.435700,11.094200,11.131200,11.131200,157386
2004-05-19,11.629100,11.892500,11.629100,11.892500,11.892500,621760
2004-05-20,11.818400,11.818400,11.476900,11.513900,11.513900,452482515
2004-05-21,11.513900,12.007700,11.513900,11.933700,11.933700,877424
2004-05-24,12.201100,12.732000,12.160000,12.732000,12.732000,3769384
2004-05-25,12.694900,12.847200,12.160000,12.160000,12.160000,4068415594
