next_day_high,tw_Open,tw_High,tw_Low,tw_Close,tw_Adj_Close,tw_VALUE,jp_VALUE ,chn_VALUE,chnhk_VALUE,bx_VALUE,cnd_VALUE,ind_VALUE,ko_VALUE,sd_VALUE,nafrc_VALUE,sgp_VALUE,sz_VALUE,aut_VALUE,eur_VALUE,nzn_VALUE,uk_VALUE
9061.599609,9094.269531,9124.299805,8988.129883,8996.719727,8996.686523,27.87,114.52,8.321,7.7472,1.0767,1.377,35.8,890.5,7.771,4.533,1.4302,1.4719,1.32890365448505,0.823771180019815,1.47492625368732,0.599880023995201
9218.209961,9061.599609,9061.599609,8997.509766,9027.629883,9027.59668,27.89,113.46,8.3214,7.7445,1.0778,1.3736,35.79,889,7.714,4.525,1.432,1.466,1.32678784662333,0.818740353858351,1.4760147601476,0.592241634586912
9370.410156,9144.959961,9218.209961,9119.25,9192.570313,9192.536133,27.905,113.03,8.3216,7.74365,1.07785,1.3749,35.805,889,7.72075,4.53225,1.4339,1.4625,1.33582687683676,0.81935869364568,1.4792899408284,0.592504814101615
9371.5,9365.19043,9370.410156,9304.820313,9322.839844,9322.805664,27.92,112.6,8.3218,7.7428,1.0779,1.3762,35.82,889,7.7275,4.5395,1.4358,1.459,1.34498991257566,0.819977968120216,1.48257968865827,0.592768227622999
9415.580078,9345.549805,9371.5,9282.099609,9305.269531,9305.235352,27.94,112.76,8.3219,7.7436,1.079,1.3745,35.8,890,7.778,4.5565,1.4385,1.4655,1.33868808567604,0.824744390012529,1.47994672191801,0.592241634586912
9511.799805,9391.280273,9415.580078,9343.299805,9362.679688,9362.645508,27.95,112.97,8.322,7.743,1.0796,1.373,35.78,890,7.7245,4.558,1.4372,1.4602,1.34228187919463,0.819654709224989,1.48588410104012,0.593824228028504
9526.740234,9470.929688,9511.799805,9420.709961,9429.740234,9429.706055,27.87,113.08,8.3213,7.7425,1.0794,1.3736,35.77,891,7.725,4.5525,1.4307,1.4498,1.34589502018843,0.819760318136691,1.48720999405116,0.592381967892897
9626.339844,9498.070313,9526.740234,9333.790039,9394.629883,9394.595703,27.87,113.88,8.3206,7.7462,1.08,1.3705,35.73,892,7.752,4.548,1.4395,1.4601,1.35062128579146,0.822366992764306,1.49320591309542,0.590493061706525
9714.780273,9626.339844,9626.339844,9561.080078,9593.540039,9593.503906,27.94,113.76,8.321,7.7495,1.0801,1.369,35.75,893.5,7.7995,4.5555,1.442,1.472,1.35869565217391,0.82677679267008,1.50262960180316,0.592346878331951
9648.429688,9714.780273,9714.780273,9451.450195,9555.980469,9555.945313,27.96,115.87,8.3216,7.7485,1.0807,1.3708,35.73,894,7.864,4.556,1.4433,1.4803,1.36184120931499,0.832774289454174,1.50829562594268,0.596480763495377
9889.450195,9634.790039,9648.429688,9482.450195,9544.55957,9544.524414,27.97,116.28,8.3219,7.7498,1.0804,1.3736,35.73,896,7.83,4.557,1.449,1.4832,1.35961930659415,0.82948178161004,1.51699029126214,0.597193191997611
9677.400391,9742.580078,9889.450195,9571.799805,9571.799805,9571.763672,27.97,116.13,8.321,7.75,1.081,1.3781,35.72,896,7.781,4.5585,1.459,1.4815,1.35924969416882,0.824831459930562,1.52508769254232,0.597014925373134
