next_day_high,tw_Open,tw_High,tw_Low,tw_Close,tw_Adj_Close,tw_VALUE,jp_VALUE ,chn_VALUE,chnhk_VALUE,bx_VALUE,cnd_VALUE,ind_VALUE,ko_VALUE,mlx_VALUE,mxc_VALUE,sd_VALUE,nafrc_VALUE,sgp_VALUE,sz_VALUE,aut_VALUE,eur_VALUE,nzn_VALUE,uk_VALUE
9061.599609,9094.269531,9124.299805,8988.129883,8996.719727,8996.686523,27.87,114.52,8.321,7.7472,1.0767,1.377,35.8,890.5,2.5255,7.951,7.771,4.533,1.4302,1.4719,0.7525,1.21392933408516,0.678,1.667
9218.209961,9061.599609,9061.599609,8997.509766,9027.629883,9027.59668,27.89,113.46,8.3214,7.7445,1.0778,1.3736,35.79,889,2.5202,7.953,7.714,4.525,1.432,1.466,0.7537,1.22138843564685,0.6775,1.6885
9370.410156,9144.959961,9218.209961,9119.25,9192.570313,9192.536133,27.905,113.03,8.3216,7.74365,1.07785,1.3749,35.805,889,2.5225,7.93,7.72075,4.53225,1.4339,1.4625,0.7486,1.22046669884049,0.676,1.68775
9371.5,9365.19043,9370.410156,9304.820313,9322.839844,9322.805664,27.92,112.6,8.3218,7.7428,1.0779,1.3762,35.82,889,2.5248,7.907,7.7275,4.5395,1.4358,1.459,0.7435,1.21954496203414,0.6745,1.687
9415.580078,9345.549805,9371.5,9282.099609,9305.269531,9305.235352,27.94,112.76,8.3219,7.7436,1.079,1.3745,35.8,890,2.505,7.919,7.778,4.5565,1.4385,1.4655,0.747,1.21249688037867,0.6757,1.6885
9511.799805,9391.280273,9415.580078,9343.299805,9362.679688,9362.645508,27.95,112.97,8.322,7.743,1.0796,1.373,35.78,890,2.5044,7.898,7.7245,4.558,1.4372,1.4602,0.745,1.22002593134069,0.673,1.684
9526.740234,9470.929688,9511.799805,9420.709961,9429.740234,9429.706055,27.87,113.08,8.3213,7.7425,1.0794,1.3736,35.77,891,2.489,7.879,7.725,4.5525,1.4307,1.4498,0.743,1.21986875660558,0.6724,1.6881
9626.339844,9498.070313,9526.740234,9333.790039,9394.629883,9394.595703,27.87,113.88,8.3206,7.7462,1.08,1.3705,35.73,892,2.505,7.852,7.752,4.548,1.4395,1.4601,0.7404,1.21600211195077,0.6697,1.6935
9714.780273,9626.339844,9626.339844,9561.080078,9593.540039,9593.503906,27.94,113.76,8.321,7.7495,1.0801,1.369,35.75,893.5,2.569,7.872,7.7995,4.5555,1.442,1.472,0.736,1.2095162912961,0.6655,1.6882
9648.429688,9714.780273,9714.780273,9451.450195,9555.980469,9555.945313,27.96,115.87,8.3216,7.7485,1.0807,1.3708,35.73,894,2.569,7.887,7.864,4.556,1.4433,1.4803,0.7343,1.20080556360047,0.663,1.6765
9889.450195,9634.790039,9648.429688,9482.450195,9544.55957,9544.524414,27.97,116.28,8.3219,7.7498,1.0804,1.3736,35.73,896,2.593,7.923,7.83,4.557,1.449,1.4832,0.7355,1.20557198743893,0.6592,1.6745
9677.400391,9742.580078,9889.450195,9571.799805,9571.799805,9571.763672,27.97,116.13,8.321,7.75,1.081,1.3781,35.72,896,2.5905,7.859,7.781,4.5585,1.459,1.4815,0.7357,1.21236888816557,0.6557,1.675
9896.730469,9669.740234,9677.400391,9555.980469,9677.400391,9677.364258,27.96,115.46,8.3215,7.7515,1.0811,1.3746,35.71,897,2.6475,7.903,7.7687,4.568,1.4692,1.473,0.743,1.21405420213744,0.6523,1.6761
9877.389648,9814.25,9896.730469,9750.700195,9833.769531,9833.732422,27.94,115.88,8.3211,7.747,1.0811,1.3746,35.72,894.5,2.628,7.886,7.7814,4.575,1.4635,1.4755,0.741,1.21225769531223,0.6534,1.6776
9694.280273,9877.389648,9877.389648,9543.759766,9550.400391,9550.365234,27.96,115.68,8.3209,7.747,1.0812,1.3818,35.71,896.5,2.632,7.855,7.82,4.5745,1.46,1.49,0.7396,1.20696343220469,0.6478,1.6744
9632.419922,9694.280273,9694.280273,9345.900391,9381.05957,9381.025391,27.98,115.85,8.3209,7.747,1.0821,1.3812,35.71,896.5,2.639,7.837,7.812,4.5635,1.4672,1.484,0.7366,1.2080000026843,0.6497,1.6779
9819.769531,9500.860352,9632.419922,9475.540039,9632.419922,9632.383789,27.97,115.95,8.3208,7.7385,1.0819,1.3832,35.71,895,2.6465,7.835,7.898,4.558,1.4765,1.4995,0.7375,1.19615893804827,0.653,1.6729
9995.370117,9719.05957,9819.769531,9710.269531,9808.910156,9808.873047,27.98,116.75,8.3205,7.7405,1.082,1.3848,35.705,894,2.6515,7.774,7.8685,4.566,1.4755,1.515,0.7372,1.20047345407099,0.6525,1.6628
10057.950195,9929.980469,9995.370117,9899.580078,9923.049805,9923.011719,28,117.76,8.3003,7.7411,1.0823,1.3865,35.75,893.5,2.6355,7.782,7.9508,4.5755,1.467,1.52,0.7345,1.18975825943589,0.641,1.6292
10000.610352,9980.110352,10057.950195,9892.339844,9892.339844,9892.302734,28.25,118,8.2913,7.7438,1.0837,1.3855,35.737,894,2.619,7.799,7.937,4.5875,1.4635,1.517,0.745,1.19171186837749,0.6495,1.6275
10113.570313,9953.94043,10000.610352,9898.299805,9942.790039,9942.751953,28.8,118.33,8.2911,7.745,1.0829,1.3813,35.72,894,2.636,7.768,7.9925,4.5935,1.4665,1.515,0.7447,1.18414027437563,0.6502,1.621
10102.769531,10111.830078,10113.570313,10050.929688,10066.349609,10066.311523,28.9,118.37,8.2913,7.743,1.083,1.382,35.72,892,2.639,7.825,7.982,4.613,1.471,1.5145,0.7451,1.18521825775192,0.6498,1.6388
