nextday_High,tw_Open,tw_High,tw_Low,tw_Close,tw_Adj_Close,RDSCUNT_RATE,RATE_YEAR,RATE,BOND_RATE,PRP_M,PRP_M_P,M1A,M1B,M2,PUR_A,ASSETS,LIABILITIES
9061.599609,9094.269531,9124.299805,8988.129883,8996.719727,8996.686523,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9218.209961,9061.599609,9061.599609,8997.509766,9027.629883,9027.59668,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9370.410156,9144.959961,9218.209961,9119.25,9192.570313,9192.536133,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9371.5,9365.19043,9370.410156,9304.820313,9322.839844,9322.805664,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9415.580078,9345.549805,9371.5,9282.099609,9305.269531,9305.235352,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9511.799805,9391.280273,9415.580078,9343.299805,9362.679688,9362.645508,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9526.740234,9470.929688,9511.799805,9420.709961,9429.740234,9429.706055,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9626.339844,9498.070313,9526.740234,9333.790039,9394.629883,9394.595703,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9714.780273,9626.339844,9626.339844,9561.080078,9593.540039,9593.503906,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9648.429688,9714.780273,9714.780273,9451.450195,9555.980469,9555.945313,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9889.450195,9634.790039,9648.429688,9482.450195,9544.55957,9544.524414,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9677.400391,9742.580078,9889.450195,9571.799805,9571.799805,9571.763672,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9896.730469,9669.740234,9677.400391,9555.980469,9677.400391,9677.364258,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9877.389648,9814.25,9896.730469,9750.700195,9833.769531,9833.732422,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9694.280273,9877.389648,9877.389648,9543.759766,9550.400391,9550.365234,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9632.419922,9694.280273,9694.280273,9345.900391,9381.05957,9381.025391,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9819.769531,9500.860352,9632.419922,9475.540039,9632.419922,9632.383789,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
9995.370117,9719.05957,9819.769531,9710.269531,9808.910156,9808.873047,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
10057.950195,9929.980469,9995.370117,9899.580078,9923.049805,9923.011719,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
10000.610352,9980.110352,10057.950195,9892.339844,9892.339844,9892.302734,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
10113.570313,9953.94043,10000.610352,9898.299805,9942.790039,9942.751953,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
10102.769531,10111.830078,10113.570313,10050.929688,10066.349609,10066.311523,5,5.95,7.375,5.97,17265,5196,16549,37161,144683,26494,32409,5915
10167.30957,9953.30957,10102.769531,9942.339844,10001.55957,10001.521484,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
10077.080078,10167.30957,10167.30957,10059.089844,10065.759766,10065.72168,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
9991.320313,10077.080078,10077.080078,9914.099609,9919.679688,9919.641602,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
9962.209961,9991.320313,9991.320313,9833.44043,9861.469727,9861.432617,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
9934.540039,9935.209961,9962.209961,9822.139648,9840.879883,9840.842773,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
10036.040039,9921.910156,9934.540039,9851.790039,9923.839844,9923.801758,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
9932.339844,10035.379883,10036.040039,9863.629883,9897.269531,9897.232422,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
9870.240234,9895.990234,9932.339844,9759.360352,9807.740234,9807.703125,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
9659.69043,9870.240234,9870.240234,9547.799805,9556.120117,9556.084961,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
9804.200195,9659.69043,9659.69043,9501.629883,9632.339844,9632.303711,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
9806.290039,9728.490234,9804.200195,9700.75,9770.799805,9770.762695,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
9856.589844,9788.240234,9806.290039,9703.900391,9712.450195,9712.413086,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
10054.549805,9831.55957,9856.589844,9797.25,9855.160156,9855.123047,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
10056.160156,9983.339844,10054.549805,9983.339844,10025.129883,10025.091797,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
10057.070313,9992.280273,10056.160156,9979.730469,10020.549805,10020.511719,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
10166.919922,10026.509766,10057.070313,9994.75,10011.469727,10011.431641,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
10256.099609,10134.299805,10166.919922,10082.009766,10116.839844,10116.801758,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
10067.480469,10191.80957,10256.099609,10040.480469,10050.669922,10050.631836,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
9861.75,10067.480469,10067.480469,9796.879883,9827.490234,9827.453125,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582,26458,32019,5561
9564.44043,9861.75,9861.75,9499.519531,9504.990234,9504.955078,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9502.730469,9564.44043,9564.44043,9185.490234,9211.669922,9211.635742,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
9466.610352,9460.75,9502.730469,9375.769531,9460.759766,9460.724609,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634,26101,31400,5299
