jp_Adj_Close,chnsse_Open,chnsse_Adj_Close,chnhs_Open,chnhs_Adj_Close,ko_Open,ko_Adj_Close,iny_Open,iny_Adj Close,ind_Open
20196.420,1255.909,1199.061,15263.800,15126.250,763.390,777.290,731.752991,730.133362,4302.959961
20121.410,1194.676,1150.623,15346.000,15055.700,778.820,775.260,730.482,735.47,4335.79
19968.000,1138.921,1159.342,15166.900,14823.000,776.020,781.700,735.825,736.575,4332.7
19705.170,1161.707,1096.819,14844.800,14858.600,777.700,773.510,736.618,737.984,4326.81
19853.891,1092.799,1109.666,14847.000,14792.200,773.000,767.740,738.021,740.811,4285.65
19697.170,1113.641,1120.841,14820.300,14703.700,768.260,771.990,740.942,738.116,4315.42
19754.779,1121.259,1120.154,14666.800,14839.200,771.990,767.770,738.166,729.129,4413.39
19875.490,1116.415,1154.794,14870.800,15225.300,766.910,768.300,729.438,723.395,4372.75
20228.721,1189.474,1200.114,15298.900,15370.900,767.170,764.450,723.691,722.477,4251.7
20069.410,1200.110,1200.110,15388.800,15487.200,762.930,755.050,722.674,722.188,4229.89
20358.740,1201.595,1190.826,15577.900,15446.000,750.350,739.720,723.679,723.482,4232.53
20519.250,1188.267,1197.226,15606.300,15706.300,743.790,743.545,723.613,723.73,4183.91
20249.320,1199.399,1209.857,15611.500,15570.400,737.230,747.370,723.547,723.979,4174.72
20203.170,1215.839,1193.525,15424.400,15536.300,741.020,740.930,724.392,712.381,4134.08
20157.020,1189.118,1208.248,15486.100,15446.800,740.890,725.980,712.674,711.42,4161.94
20130.510,1219.055,1198.861,15551.200,15738.800,723.560,730.580,711.768,718.168,4204.83
20286.230,1194.705,1174.217,15801.900,15709.200,729.420,739.040,718.54,712.025,4264.93
20389.539,1166.566,1170.862,15720.800,15658.100,739.820,733.640,712.046,710.037,4218.29
20575.260,1167.813,1141.777,15627.000,15666.600,732.560,733.920,710.499,710.798,4191.91
20402.740,1137.319,1153.229,15681.900,15772.100,733.680,732.680,710.819,716.334,4180.59
20212.820,1157.090,1179.421,15842.600,15983.200,733.630,726.890,716.431,721.958,4230.8
20331.430,1184.937,1189.760,16144.600,16365.700,724.780,726.120,722.345,721.249,4252.37
19804.381,1191.651,1192.828,16424.199,16379.200,726.840,731.450,721.497,721.751,4322.19
19668.070,1196.254,1200.333,16342.000,16259.600,729.660,734.190,721.246,718.688,4392.47
19514.449,1203.358,1196.274,16423.100,16371.500,734.370,740.860,718.799,713.859,4477.5
19702.070,1196.035,1171.941,16418.199,16541.600,740.040,745.650,713.979,699.835,4568.39
19475.850,1167.927,1199.240,16683.000,16673.301,746.380,745.350,699.856,677.819,4527.91
19604.461,1205.952,1206.053,16668.000,16647.500,745.970,752.010,677.939,675.416,4460.23
18824.180,1206.456,1184.083,16449.199,16460.500,762.770,765.070,675.436,658.15,4434.02
19099.109,1177.261,1146.809,16572.000,16383.400,766.260,762.020,658.622,662.927,4496.8
19008.600,1139.246,1120.127,16318.600,16482.900,762.990,762.730,662.338,658.584,4419.34
19222.619,1120.471,1168.113,16465.000,16497.699,762.780,755.780,658.604,642.992,4372.29
19326.029,1174.183,1143.064,16503.600,16096.900,754.620,748.535,641.908,617.688,4324.79
18961.000,1134.617,1132.905,15559.700,15477.300,746.460,741.290,598.898,590.513,4277.29
19252.230,1135.050,1144.639,15571.900,15855.700,741.160,746.230,590.152,593.153,4166.79
19157.119,1148.387,1164.545,15921.600,15654.000,745.750,739.470,594.813,603.042,4252.05
18650.170,1159.386,1171.833,15497.300,15429.800,738.920,736.620,602.819,574.378,4132.99
18656.170,1175.445,1184.096,15411.300,15598.900,744.040,741.760,572.412,540.913,4085.785
18814.980,1186.069,1194.043,15617.700,15547.200,740.770,734.030,540.419,554.221,4038.58
18441.939,1195.428,1198.513,15470.100,15534.000,732.550,730.280,554.238,555.445,4131.05
18451.449,1201.059,1213.892,15590.100,14876.100,729.860,716.860,554.692,530.35,4093.76
17974.301,1224.177,1229.865,14112.000,13425.700,691.800,682.200,493.599,485.955,3875.26
18232.520,1228.475,1226.303,13777.300,13735.300,679.090,688.780,486.526,479,3944.31
18735.170,1223.621,1240.820,14334.800,14714.000,690.730,688.630,485.276,512.373,3966.87
18615.061,1245.775,1251.298,14609.700,14199.200,687.370,687.990,518.397,533.854,3963.94
18650.170,1250.604,1251.550,14296.700,14563.600,688.040,700.920,540.311,594.095,4018.59
18633.859,1253.145,1255.229,14639.800,14806.500,703.460,697.980,598.532,600.293,4029.85
18695.971,1255.181,1231.027,14861.800,14996.700,694.830,688.970,606.396,597.986,4095.12
18704.770,1230.426,1256.041,15031.600,14805.400,687.520,691.620,597.792,574.999,4018.75
18282.230,1260.519,1242.713,14581.600,14308.300,690.500,695.370,574.218,556.12,4057.9
17965.801,1240.496,1208.697,14194.000,14470.500,694.470,699.330,555.307,546.621,4013.01
17824.535,1205.901,1179.286,14642.200,14630.700,697.640,700.360,547.633,550.745,3987.39
17683.270,1188.885,1167.557,14577.100,14525.100,697.640,700.360,534.497,526.721,4013.68
17930.090,1169.670,1172.366,14512.000,14419.500,700.810,701.390,526.326,524.256,3904.42
18058.211,1174.769,1184.521,14499.400,14384.100,700.570,689.160,524.272,531.063,3891.63
18201.320,1184.493,1103.974,14385.100,14108.100,678.770,668.450,531.079,535.585,3830.81
18310.700,1096.187,1041.965,14144.100,14094.400,666.560,654.370,536.142,539.467,3772.59
18420.080,1064.661,1110.012,14112.800,14205.400,653.300,655.750,539.483,553.63,3834.97
18341.961,1118.369,1117.010,14285.600,14636.600,655.220,647.000,555.273,559.203,3835.8
17994.711,1118.690,1109.634,14648.200,14710.900,644.380,638.260,558.786,549.904,3895.98
17887.711,1083.414,1097.383,14946.700,15049.300,623.930,647.110,547.397,546.672,3911.34
17842.160,1084.070,1084.070,15040.000,15088.650,646.860,644.920,546.22,536.97,3885.41
17455.039,1084.070,1084.070,15040.000,15088.650,644.440,636.650,536.986,536.908,3896.315
17647.449,1097.380,1097.380,15133.300,15128.000,644.560,640.430,535.492,515.462,3907.22
17824.779,1100.700,1098.903,15190.500,14776.800,644.680,644.210,515.193,512.878,3850.35
17511.189,1098.294,1102.573,14762.300,14810.800,642.250,630.030,514.186,513.934,3851.94
17619.180,1122.968,1134.868,14795.200,14838.500,627.680,610.440,515.2,518.925,3912.4
17376.920,1134.591,1122.466,14713.200,14273.100,607.490,609.360,520.923,521.097,3927.85
17204.699,1136.429,1119.817,14242.900,14072.900,618.220,613.000,533.938,534.81,4093.92
17306.391,1116.299,1117.928,14147.600,13836.600,619.670,620.680,534.99,528.903,4061.51
17331.369,1119.108,1125.782,13785.800,13384.200,621.500,604.740,529.1,518.9,4015.55
17707.490,1131.400,1150.307,13317.200,13567.300,598.130,579.250,518.109,517.076,4082.66
17478.420,1155.422,1176.489,13475.700,13601.000,577.870,585.490,517.091,520.67,4102.29
17294.510,1183.744,1187.368,13473.700,12970.900,584.590,565.640,520.685,514.156,4123.8
17210.090,1190.495,1191.870,13052.100,12403.100,559.770,566.850,514.607,514.953,4157.69
17687.609,1193.701,1177.520,12242.100,11637.800,569.470,601.320,514.809,505.218,4118.67
17151.551,1178.983,1173.364,11083.200,10426.300,602.990,604.060,505.233,494.122,4073.42
17363.740,1172.884,1178.306,10226.800,11144.300,596.330,570.910,493.989,490.382,3992.4
17038.359,1183.647,1235.827,10902.400,10498.200,549.310,530.470,490.544,490.105,3969.75
16312.690,1239.585,1177.924,9649.100,9059.900,522.390,495.280,487.939,447.983,3969.75
16857.039,1168.225,1184.086,10130.500,10765.300,500.050,506.640,453.798,472.037,3803.09
16364.940,1189.265,1174.846,10444.500,10362.900,499.650,485.080,472.125,502.856,3803.09
1185.065,1181.162,1180.854,10901.900,11255.100,497.110,511.660,500.801,501.699,3814.75
16500.100,1180.865,1184.700,11543.900,10780.800,514.080,542.130,502.675,494.834,3799.55
16448.051,1186.095,1194.038,10663.200,10681.800,547.330,555.740,494.856,490.834,3805.14
16533.869,1198.658,1181.123,10777.500,10412.600,555.210,553.870,490.986,478.904,3744.39
15836.360,1181.776,1195.141,10346.800,10104.500,554.380,515.630,475.614,466.102,3761.16
15697.200,1199.368,1185.784,9920.600,9992.800,501.450,525.320,466.109,462.678,3733.31
15867.230,1183.418,1186.634,10006.200,10004.100,521.620,522.110,462.37,448.142,3724.85
15427.270,1169.704,1185.024,9522.000,9720.800,521.460,519.470,449.788,437.934,3601.3
15082.520,1187.351,1197.832,9894.100,9957.300,519.140,520.010,438.241,436.83,3570.34
16283.320,1210.677,1191.333,10180.700,10419.800,517.650,496.980,437.509,439.525,3552.43
16726.570,1190.261,1183.349,10501.900,10245.200,489.690,494.660,439.629,434.196,3573.87
15842.460,1185.103,1181.627,10103.100,10154.400,494.740,502.590,434.214,415.642,3479.07
16308.490,1182.739,1172.427,10117.300,10050.700,504.940,488.410,415.742,396.118,3394.27
16721.580,1168.968,1158.555,10308.000,10548.200,493.430,506.070,397.114,391.246,3450.75
1144.916,1150.416,1124.941,10647.300,10586.400,477.090,450.640,391.637,410.194,3512.82
15867.530,1120.864,1125.528,10392.500,10325.600,441.660,439.590,409.237,395.667,3400.75
16045.550,1126.596,1143.818,10395.300,10590.100,436.450,438.700,395.913,398.527,3516.05
16603.199,1141.770,1122.516,10621.000,10583.100,439.050,433.100,398.628,401.696,3530.68
16636.260,1117.569,1139.628,10441.200,10526.900,430.250,411.910,399.965,400.15,3616.47
17007.590,1137.588,1133.087,10510.800,10750.900,405.520,393.160,401.302,398.604,3536.07
16910.289,1133.590,1130.167,10881.700,11216.400,389.120,376.870,398.466,394.271,3566.53
16585.510,1129.777,1122.546,11193.800,11207.600,369.010,379.310,393.407,389.67,3559.88
16306.790,1121.803,1135.873,11207.500,11474.900,383.060,405.810,389.682,401.914,3530.31
