ind_Adj_Close,astsp_Open,astsp_Adj_Close,ast_Open,ast_Adj_Close,usdow_Open,usdow_Adj_Close,usnsdq_Open,usnsdq_Adj_Close,usvix_Open
4333.899902,2685.8,2685.8,2721.2,2745.9,7721.7,7795.38,1443.24,1455.61,20.74
4323.46,2681.3,2681.3,2745.9,2742.9,7797,7895.8,1464.07,1467.61,18.46
4323.82,2673.1,2673.1,2742.9,2733.4,7846.75,7877.15,1468.34,1469.175,18.585
4291.45,2653.7,2653.7,2733.4,2713,7896.5,7858.5,1472.61,1470.74,18.71
4306.39,2621.8,2621.8,2713,2679.2,7858,7962.3,1471.45,1485.1,19.08
4404.69,2637,2637,2679.2,2696.1,7961.4,7842.4,1491.84,1486.63,18.58
4378.37,2635.8,2635.8,2696.1,2694.4,7852.8,7886.8,1485.67,1490.93,19.89
4321.98,2641.1,2641.1,2694.4,2699.1,7887.21,7921.8,1489.71,1502.62,19.29
4225.02,2614,2614,2695.9,2673,7920.4,7923,1506.97,1523.88,19.02
4221.02,2577.8,2577.8,2673,2637.6,7926,7975.7,1534.57,1542.11,19.51
4183.42,2588.6,2588.6,2637.6,2646.4,7973.2,8038.9,1561.41,1580.63,19.8
4193.61,2612.7,2612.7,2646.4,2669.7,8037,8020.8,1581.25,1568.85,19.97
4124.81,2626.8,2626.8,2669.7,2684.2,8020.5,7890.5,1559.5,1547.99,21.01
4154.28,2595.8,2595.8,2684.2,2653.4,7890.9,7906.7,1548.1,1536.23,23.55
4186.29,2597.7,2597.7,2653.4,2656.4,7906.02,8061.6,1539,1563.86,23.11
4251.13,2624.1,2624.1,2656.4,2683.4,8063.3,8088.36,1571.33,1567.65,21.31
4226.37,2617.1,2617.1,2683.4,2676.4,8089.3,8116.9,1565.87,1569.13,21.57
4189.81,2631.9,2631.9,2676.4,2691.2,8116.2,8113.4,1571.69,1569.58,20.64
4181.48,2664.8,2664.8,2691.2,2723.8,8113.4,8121.1,1573.09,1563.53,20.57
