usvix_Adj_Close,ussp_Open,ussp_Adj_Close,eurestx_Open,eurestx_Adj_Close,blx_Open,blx_Adj_Close,fnc_Open,fnc_Adj_Close,grm_Open
19.7,891.03,904.03,2452.79,2452.79,2410.1,2444.9,2947.6,2909.5,3840.32
17.82,904.03,916.92,2491.58,2491.58,2458.3,2488.1,2926.5,2937,3882.48
18.475,910.475,914.56,2509.09,2509.09,2490.9,2473.2,2926.5,2934.5,3965.37
19.13,916.92,912.2,2531.84,2531.84,2472,2504.5,2917.7,2947.7,3956.31
18.76,912.2,918.75,2520.46,2520.46,2499.3,2493.2,2948.7,2929.8,3986.65
20.4,918.75,907.54,2544.62,2544.62,2513.5,2500.2,2946.5,2950.6,4050.37
19.92,907.54,913.78,2512.98,2512.98,2492.3,2486.8,2928.5,2929.1,4029.43
19.06,913.78,916.68,2542.17,2542.17,2495.9,2492.4,2937.6,2941.6,4018.21
19.58,916.68,918.38,2554.05,2554.05,2498.4,2501.3,2940.95,2946.15,4093.7
19,918.38,925.76,2546.57,2546.57,2495.5,2489.7,2944.3,2950.7,4127.55
19.36,925.76,936.59,2598.19,2598.19,2501.2,2531.1,2969.8,2988,4164.61
20.54,936.59,931.61,2601.8,2601.8,2550.2,2541.4,3006.1,2958.6,4250.26
22.28,931.61,915.3,2558.56,2558.56,2531.8,2494,2941.9,2876.7,4207.16
23.51,915.3,912.94,2516.79,2516.79,2514.4,2516.75,2854.1,2874.1,4183.76
21.77,912.94,933.98,2578.77,2578.77,2497,2539.5,2901.7,2921.1,4167.13
21.3,933.98,936.56,2645.05,2645.05,2582.5,2601.6,2984.6,3003.5,4359.05
20.96,936.56,940.3,2619.17,2619.17,2594.6,2581.6,3015.1,2973.5,4382.6
20.82,940.3,938.79,2640.14,2640.14,2568.8,2592.8,3011.1,3025.9,4365.03
21.84,938.79,936.45,2660.13,2660.13,2614.3,2621.9,3026.4,3022.2,4407.5
22.02,936.45,942.29,2638.05,2638.05,2615.2,2599.8,3016.4,3023.6,4395.55
21.39,942.29,952.29,2674.56,2674.56,2607,2596.4,3052.6,3069.3,4399.99
21.48,952.29,954.31,2674.83,2674.83,2591.7,2579.3,3089.6,3075.7,4463.92
22.29,954.29,947.14,2656.32,2656.32,2573.7,2536,3097.2,3049.5,4422.17
21.94,947.14,950.3,2614.82,2614.82,2528.2,2470.3,3061.2,2992.4,4354
20.64,950.3,952.37,2618.3,2618.3,2491.2,2455.7,3011.9,2984.1,4330.21
20.05,952.37,960.32,2667.77,2667.77,2445.4,2466.2,2981.8,3037.1,4318.64
19.77,960.32,951.19,2699.78,2699.78,2486,2479.8,3069.5,3056.3,4383.1
22.46,951.19,933.54,2654.07,2654.07,2464.5,2431.5,3045.9,2996.3,4378.51
22.77,933.54,937,2625.86,2625.86,2396.3,2420.6,2964.5,2983.4,4269.36
23.75,937,926.53,2645.81,2645.81,2458.1,2452,3009.9,2998.6,4351.83
24.52,926.53,922.02,2578.11,2578.11,2432.3,2399.1,2965.5,2924,4316.93
23.11,922.02,924.77,2558.3,2558.3,2399.8,2417.9,2930.4,2921.8,4269.67
24.45,924.77,900.81,2503.46,2503.46,2409.15,2408.3,2922.6,2929,4204.93
22.64,912.49,926.01,2549.74,2549.74,2418.5,2398.7,2914.8,2936.2,4134.47
21.09,926.01,939.35,2589.14,2589.14,2428.9,2423.4,2977,2979.3,4242.17
23.83,939.35,925.05,2581.93,2581.93,2441.2,2420.6,2988,2957.2,4277.74
24.74,925.05,923.54,2515.62,2515.62,2406,2367.3,2925.4,2904.2,4155.4
24.1,923.55,920.16,2513.53,2513.53,2371.4,2360.8,2935.3,2898.6,4126.97
