grm_Adj Close,cnd_Open,cnd_Adj_Close,mxc_Open,mxc_Adj_Close,agt_Open,agt_Adj_Close,chl_Adj_Close,chl_Open,bx_Open
3867.53,6471.500,6549.000,4508.800,4559.200,818.67,824.11,1217.59,1203.42,13271
3939.73,6610.100,6588.000,4559.500,4591.600,823.91,831.44,1230.53,1217.72,13414
3946.73,6588.000,6585.400,4591.600,4644.600,831.71,837.95,1235.93,1230.66,13500
4003.35,6562.600,6529.100,4644.600,4741.200,838.14,841.69,1224.79,1236.06,13597
4030.1,6540.600,6580.800,4741.400,4821.100,841.83,846.33,1226.71,1224.92,13617
4026.97,6596.000,6574.600,4821.100,4836.500,844.1,845.975,1227.27,1226.83,13811
4000.65,6583.900,6592.900,4836.500,4862.400,846.37,845.62,1222.65,1227.4,14005
4074.3,6600.900,6626.400,4862.400,4821.600,845.23,850.62,1212.75,1223.23,13609
4142.19,6639.800,6639.600,4821.600,4777.100,850.62,836.14,1205.1,1213.33,13153
4139.68,6644.900,6655.900,4777.100,4694.400,835.37,807.91,1182.03,1206.12,12701
4223.69,6705.800,6744.800,4694.400,4787.400,806.59,826.37,1194.63,1182.15,11617
4203.91,6744.600,6755.100,4787.400,4816.400,826.37,815.35,1183.94,1194.76,12787
4131.94,6739.900,6738.200,4814.900,4720.500,814.39,802.11,1170.55,1184.18,11740
4139.96,6697.300,6647.400,4720.600,4590.200,802.11,790.7,1146.7,1172.92,11318
4297.64,6673.300,6714.300,4589.200,4652.200,791.35,813.47,1161.77,1146.81,12253
4384.82,6761.300,6765.200,4652.200,4742.100,814,821.7,1181.02,1161.9,11759
4320.52,6780.300,6785.200,4745.300,4762.700,821.7,836.12,1196.32,1181.25,12642
4368.54,6793.200,6780.300,4765.200,4722.400,836.12,841.19,1212.3,1197.23,12573
4400.3,6786.300,6792.300,4722.400,4712.200,840.26,852.2,1198.35,1212.31,13061
4377.7,6776.700,6801.200,4712.200,4797.500,852.56,849.02,1204.76,1198.47,13188
4458.66,6818.800,6850.600,4797.500,4974.200,849.66,847.24,1212.75,1204.89,13239
4405.52,6872.100,6877.700,4979.300,5067.800,847.2,850.03,1207.57,1212.88,13046
4336.98,6877.300,6851.100,5058.400,5067.000,849.36,841.08,1221.98,1207.7,12846
4302.5,6851.100,6851.100,5067.000,5135.200,840.02,832.72,1223.89,1222.11,12259
4325.86,6876.900,6903.100,5135.400,5183.000,833.4,838.71,1206.9,1224.36,12224
4364.25,6893.500,6933.700,5183.300,5212.900,839.5,857.44,1215.9,1207.93,12224
4428.08,6960.100,6945.100,5212.900,5195.300,857.7,849.88,1213.88,1216.03,12620
4342.31,6888.900,6895.200,5194.300,5075.100,849.23,850.73,1207.46,1214,12324
4333.15,6882.700,6840.400,5075.100,5043.700,850.69,853.29,1192.05,1208.26,12239
4377.51,6852.000,6808.500,5043.700,5002.900,854.13,841.05,1180,1192.17,12150
4237.06,6837.200,6791.000,5009.400,5016.600,840.68,836.94,1175.62,1180.13,12045
4195.53,6806.900,6766.900,5016.600,5014.600,837.81,840.45,1190.81,1176.19,12097
4077.59,6733.100,6695.100,5014.600,4956.600,840.13,838.71,1190.81,1179.17,11891
4190.45,6687.100,6715.900,4952.900,5041.500,838.35,850.01,1190.81,1182.15,11481
4251.93,6699.500,6773.100,5040.900,5124.200,850.01,866.47,1206.34,1190.93,11211
4204.81,6781.800,6733.000,5124.200,5070.500,866.62,862.06,1196.32,1206.46,11207
4090.14,6647.700,6709.800,5069.400,5023.400,861.05,843.8,1181.92,1185.87,10920
4076.75,6722.300,6732.900,5023.500,4996.200,844.86,846.91,1173.25,1183.17,11422
3993.7,6728.900,6697.900,4996.200,4916.500,846.98,846.52,1170.55,1173.37,11651
3992.03,6698.600,6674.200,4916.900,4912.900,847.47,861.85,1168.86,1171.01,11589
3897.43,6659.900,6633.000,4912.900,4789.400,861.27,865.3,1155.7,1168.99,11721
4001.81,6639.100,6653.150,4781.200,4784.800,830.9,810.05,1143.99,1146.14,10643
4127.28,6618.300,6673.300,4649.500,4780.200,810.31,826.83,1167.18,1144.68,11065
4062.13,6699.000,6704.200,4781.300,4888.800,828.74,834.18,1198.01,1167.3,11353
4093.43,6710.000,6722.100,4888.800,4891.500,834.69,831.82,1191.93,1198.13,11456
4073.71,6749.600,6743.200,4891.700,4927.400,831.82,831.97,1185.74,1195.66,11465
4131.26,6758.500,6764.100,4927.500,4933.400,832.12,832.16,1176.97,1185.87,12020
4104.57,6757.700,6799.500,4933.400,4938.000,832.38,831.59,1184.39,1177.09,11572
4028,6790.700,6769.500,4937.700,4822.100,830.56,808.26,1179.67,1184.52,11773
3890.24,6740.200,6741.900,4822.100,4720.600,805.13,796.85,1178.77,1182.155,11362
3796.61,6760.700,6766.100,4720.600,4848.500,796.85,815.87,1177.87,1179.79,11377
3869.53,6775.800,6787.900,4848.500,4833.100,816.02,800.9,1164.7,1177.99,11320
3970.44,6886.400,6898.100,4833.300,5009.600,821.77,821.58,1182.82,1175.51,11152
4004.04,6923.300,6970.300,5014.300,5074.900,821.66,820.84,1182.82,1175.51,11457
3983.06,6958.600,6982.700,5074.900,5118.100,820.91,812.32,1181.58,1185.19,11830
4096.85,7002.200,7015.100,5118.100,5278.700,812.19,807.79,1181.58,1185.19,11880
4091.77,7005.500,7014.200,5279.500,5258.500,808.3,809.21,1169.99,1181.7,11698
