bx_Adj_Close,Isrl_Open,Isrl_Adj_Close,tw_VALUE,jp_VALUE ,chn_VALUE,chnhk_VALUE,bx_VALUE,cnd_VALUE,ind_VALUE
13260,290.32,294.5,27.87,114.52,8.321,7.7472,1.0767,1.377,35.8
13285,294.5,295.15,27.89,113.46,8.3214,7.7445,1.0778,1.3736,35.79
13494,296.565,298.96,27.905,113.03,8.3216,7.74365,1.07785,1.3749,35.805
13502,298.63,302.77,27.92,112.6,8.3218,7.7428,1.0779,1.3762,35.82
13617,302.77,303.85,27.94,112.76,8.3219,7.7436,1.079,1.3745,35.8
13613,303.85,303.95,27.95,112.97,8.322,7.743,1.0796,1.373,35.78
13609,303.95,298.74,27.87,113.08,8.3213,7.7425,1.0794,1.3736,35.77
13153,302.96,299.025,27.87,113.88,8.3206,7.7462,1.08,1.3705,35.73
12698,301.97,299.31,27.94,113.76,8.321,7.7495,1.0801,1.369,35.75
11617,299.31,299.4,27.96,115.87,8.3216,7.7485,1.0807,1.3708,35.73
12640,299.4,295.8,27.97,116.28,8.3219,7.7498,1.0804,1.3736,35.73
11728,295.8,298.12,27.97,116.13,8.321,7.75,1.081,1.3781,35.72
11182,295.21,296.8,27.96,115.46,8.3215,7.7515,1.0811,1.3746,35.71
11292,294.62,295.48,27.94,115.88,8.3211,7.747,1.0811,1.3746,35.72
12235,295.48,293.43,27.96,115.68,8.3209,7.747,1.0812,1.3818,35.71
12427,293.43,297.32,27.98,115.85,8.3209,7.747,1.0821,1.3812,35.71
12544,297.32,301.25,27.97,115.95,8.3208,7.7385,1.0819,1.3832,35.71
12523,301.12,302.765,27.98,116.75,8.3205,7.7405,1.082,1.3848,35.705
12938,304.92,304.28,28,117.76,8.3003,7.7411,1.0823,1.3865,35.75
13044,304.28,305.55,28.25,118,8.2913,7.7438,1.0837,1.3855,35.737
13019,305.55,302.33,28.8,118.33,8.2911,7.745,1.0829,1.3813,35.72
12872,302.33,306.14,28.9,118.37,8.2913,7.743,1.083,1.382,35.72
12259,304.605,307.92,28.9,118.47,8.3203,7.743,1.083,1.3891,35.8
12017,306.88,309.7,28.75,118.34,8.3205,7.7433,1.0832,1.3798,35.8
11909,309.7,309.79,28.75,119.26,8.3203,7.7405,1.0842,1.3815,35.737
12523,309.79,311.76,28.75,118.65,8.32,7.742,1.0848,1.3871,35.735
12323,311.76,311.56,28.8,118.4,8.3203,7.7415,1.0853,1.3875,35.727
12129,309.14,307.19,28.85,115.3,8.3197,7.742,1.0855,1.3928,35.74
11949,306.52,302.82,28.85,115.85,8.3196,7.743,1.0857,1.3933,35.727
11810,302.82,302.82,28.95,116.21,8.3191,7.7447,1.0857,1.3932,35.73
11851,302.82,297.67,28.85,115.78,8.3116,7.7442,1.0859,1.3926,35.732
11905,297.67,301.36,28.85,117.75,8.3193,7.749,1.0863,1.3907,35.74
11335,296.5,298.515,28.9,117.8,8.3119,7.7435,1.0885,1.3903,35.81
11211,295.33,295.67,28.8,118.45,8.319,7.74,1.089,1.3951,35.73
10849,296.79,298.04,28.85,118.08,8.32,7.743,1.0887,1.3939,36.2
11180,298.04,297.46,28.85,117.78,8.3191,7.7435,1.0888,1.3955,36.3
11158,295.805,293.555,28.8,117.26,8.319,7.7445,1.0925,1.3948,36.4
11422,293.57,289.65,28.8,118.73,8.319,7.743,1.0923,1.3917,36.6
11626,289.65,287.71,28.8,118.32,8.319,7.7435,1.0925,1.3951,36.5
11719,287.71,288.56,28.78,118.88,8.3192,7.745,1.0912,1.3917,36.5
11267,288.56,287.52,28.8,118.75,8.3185,7.7467,1.092,1.3878,36.45
10109,280.8,280.05,28.85,120.15,8.3184,7.74785,1.092,1.38615,36.51
11063,280.05,285.06,28.9,121.55,8.3183,7.749,1.092,1.3845,36.57
11119,288.8,289.23,28.9,121.03,8.3189,7.7478,1.0918,1.3837,36.48
11431,288.79,287.09,28.75,120.72,8.3191,7.7485,1.093,1.3858,36.51
11838,287.34,286.82,28.7,121.09,8.3184,7.7477,1.0918,1.3824,37
11685,285.89,286.55,28.9,121.02,8.31825,7.7475,1.0912,1.383,36.56
11735,288.79,292.41,28.9,119.05,8.3181,7.7457,1.091,1.3845,36.66
11361,292.41,291.04,28.7,119.26,8.3187,7.7453,1.0917,1.3852,36.47
11094,289.19,288.43,28.7,119.58,8.3189,7.746,1.0919,1.392,36.65
11292,287.915,287.955,28.7,120.93,8.3181,7.746,1.0923,1.3935,36.6
10865,286.64,287.48,28.7,120.4,8.3181,7.7455,1.0925,1.3922,36.46
11524,284.87,283.01,28.65,120.99,8.3175,7.7452,1.094,1.3888,36.46
11714,281.4,280.42,28.7,121.98,8.3173,7.7427,1.0945,1.3911,36.4
11650,281.935,281.245,28.7,121.93,8.3164,7.7422,1.094,1.3902,36.5
11712,282.47,282.07,28.7,122.25,8.3159,7.742,1.095,1.389,36.4
11516,283.93,285.72,28.66,121.53,8.3154,7.743,1.0952,1.3903,36.4
11482,285.72,284.66,28.66,120.4,8.3151,7.7402,1.0955,1.3875,36.3
11385,284.69,285.04,28.66,121.3,8.315,7.738,1.0951,1.3842,36.25
11534,289.635,290.315,28.76,120.87,8.315,7.739,1.096,1.3839,36.25
11797,294.58,295.59,28.66,120.71,8.3149,7.7385,1.0958,1.3824,36.19
12173,295.59,295.59,28.66,120.8,8.3149,7.737,1.0969,1.3791,36.2
12397,295.59,295.59,28.7,121.8,8.3149,7.738,1.097,1.3747,37
12541,298.165,298.73,28.68,121.93,8.3149,7.7383,1.0968,1.3713,36.25
12511,300.74,301.87,28.65,121.93,8.3145,7.7365,1.0975,1.3718,36.2
12481,301.87,301.69,28.55,122.01,8.3145,7.7365,1.0978,1.373,36.25
12433,302.89,305.89,28.58,121.09,8.31,7.7365,1.0978,1.3727,36.25
12684,305,302.8,28.5,121.18,8.3141,7.736,1.098,1.3747,36.22
12698,304.67,304.25,28.515,121.465,8.31365,7.73685,1.0981,1.37865,36.26
12895,305.43,306.6,28.53,121.75,8.3132,7.7377,1.0982,1.3826,36.3
12830,306.6,306.6,28.54,121.31,8.3139,7.7385,1.0993,1.3865,36.257
12578,306.6,306.6,28.56,119.87,8.3142,7.7395,1.0993,1.387,36.235
12488,307.505,308.48,29.75,120.19,8.3139,7.74,1.1,1.386,36.237
12704,308.41,310.36,30.75,121.4,8.3135,7.748,1.0999,1.385,36.25
13016,310.33,310.16,30.8,120.66,8.3132,7.751,1.0999,1.389,36.25
12956,310.16,310.16,30.8,120.71,8.31,7.75,1.1007,1.3915,36.2
11899,310.16,310.16,30.5,121.67,8.3136,7.7275,1.1005,1.3895,36.3
11545,304.205,302.43,30.7,121.73,8.3133,7.734,1.1025,1.392,36.3
9817,298.25,294.7,30.8,121.87,8.3134,7.731,1.1035,1.3981,36.34
10447,275.37,265.64,31,119.7,8.313,7.735,1.1032,1.409,36.3
9818,280.68,286.88,31.3,120.53,8.3132,7.731,1.1022,1.4015,36.345
8855,281.96,279.02,31.2,120.68,8.3136,7.7305,1.1055,1.4075,36.32
9858,289.36,290.48,31.4,121.04,8.3129,7.7345,1.1028,1.4065,36.405
10254,290.48,288.45,30.85,121.83,8.3126,7.733,1.1037,1.4039,36.4
9988,288.61,289.45,30.6,122.56,8.3122,7.7315,1.104,1.4005,36.4
9435,288.61,287.56,30.8,123.16,8.312,7.733,1.1077,1.4025,36.5
8833,285.02,283.455,31,123.97,8.3117,7.731,1.1075,1.4095,36.55
