ko_VALUE,mlx_VALUE,mxc_VALUE,sd_VALUE,nafrc_VALUE,sgp_VALUE,sz_VALUE,aut_VALUE,eur_VALUE,nzn_VALUE
890.5,2.5255,7.951,7.771,4.533,1.4302,1.4719,0.7525,1.21392933408516,0.678
889,2.5202,7.953,7.714,4.525,1.432,1.466,0.7537,1.22138843564685,0.6775
889,2.5225,7.93,7.72075,4.53225,1.4339,1.4625,0.7486,1.22046669884049,0.676
889,2.5248,7.907,7.7275,4.5395,1.4358,1.459,0.7435,1.21954496203414,0.6745
890,2.505,7.919,7.778,4.5565,1.4385,1.4655,0.747,1.21249688037867,0.6757
890,2.5044,7.898,7.7245,4.558,1.4372,1.4602,0.745,1.22002593134069,0.673
891,2.489,7.879,7.725,4.5525,1.4307,1.4498,0.743,1.21986875660558,0.6724
892,2.505,7.852,7.752,4.548,1.4395,1.4601,0.7404,1.21600211195077,0.6697
893.5,2.569,7.872,7.7995,4.5555,1.442,1.472,0.736,1.2095162912961,0.6655
894,2.569,7.887,7.864,4.556,1.4433,1.4803,0.7343,1.20080556360047,0.663
896,2.593,7.923,7.83,4.557,1.449,1.4832,0.7355,1.20557198743893,0.6592
896,2.5905,7.859,7.781,4.5585,1.459,1.4815,0.7357,1.21236888816557,0.6557
897,2.6475,7.903,7.7687,4.568,1.4692,1.473,0.743,1.21405420213744,0.6523
894.5,2.628,7.886,7.7814,4.575,1.4635,1.4755,0.741,1.21225769531223,0.6534
896.5,2.632,7.855,7.82,4.5745,1.46,1.49,0.7396,1.20696343220469,0.6478
896.5,2.639,7.837,7.812,4.5635,1.4672,1.484,0.7366,1.2080000026843,0.6497
895,2.6465,7.835,7.898,4.558,1.4765,1.4995,0.7375,1.19615893804827,0.653
894,2.6515,7.774,7.8685,4.566,1.4755,1.515,0.7372,1.20047345407099,0.6525
893.5,2.6355,7.782,7.9508,4.5755,1.467,1.52,0.7345,1.18975825943589,0.641
894,2.619,7.799,7.937,4.5875,1.4635,1.517,0.745,1.19171186837749,0.6495
894,2.636,7.768,7.9925,4.5935,1.4665,1.515,0.7447,1.18414027437563,0.6502
892,2.639,7.825,7.982,4.613,1.471,1.5145,0.7451,1.18521825775192,0.6498
891.5,2.6395,7.823,8.0295,4.635,1.475,1.526,0.7393,1.17870462678079,0.6433
891,2.6365,7.826,8.046,4.653,1.467,1.5255,0.7385,1.17655132427048,0.643
893,2.643,7.805,8.0825,4.653,1.473,1.536,0.7392,1.17155095457528,0.6448
