uk_VALUE,RDSCUNT_RATE,RATE_YEAR,RATE,BOND_RATE,PRP_M,PRP_M_P,M1A,M1B,M2
1.667,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6885,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.68775,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.687,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6885,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.684,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6881,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6935,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6882,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6765,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6745,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.675,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6761,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6776,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6744,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6779,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6729,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6628,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6292,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6275,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.621,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6388,5,5.95,7.375,5.97,17265,5196,16549,37161,144683
1.6348,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.6283,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.625,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.6008,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.5875,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.585,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.5902,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.5775,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.5825,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.5865,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.609,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.6035,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.5923,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.5905,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.6081,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.6052,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.6121,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.6103,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.6158,5.25,6.03,7.5,6.12,17125,5138,16555,36965,144582
1.60275,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634
1.5897,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634
1.5846,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634
1.5855,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634
1.592,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634
1.5827,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634
1.5882,5.25,6.03,7.5,6.17,17238,5141,16333,36222,144634
