PUR_A,ASSETS,LIABILITIES
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26494,32409,5915
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26458,32019,5561
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
26101,31400,5299
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
28099,33013,4914
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29161,34139,4978
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
29820,34716,4896
31208,36319,5111
31208,36319,5111
31208,36319,5111
31208,36319,5111
31208,36319,5111
31208,36319,5111
31208,36319,5111
31208,36319,5111
31208,36319,5111
31208,36319,5111
31208,36319,5111
31208,36319,5111
31208,36319,5111
31208,36319,5111
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
29602,34303,4701
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30081,35118,5037
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
30046,35270,5224
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31027,36346,5319
31232,36522,5290
31232,36522,5290
31232,36522,5290
31232,36522,5290
31232,36522,5290
31232,36522,5290
31232,36522,5290
31232,36522,5290
31232,36522,5290
31232,36522,5290
31232,36522,5290
31232,36522,5290
31232,36522,5290
31232,36522,5290
31232,36522,5290
